"title";"id";"year"
"Automatic performance model construction for the fast software exploration of new hardware designs";"7349888237863145289";"2006"
"The Integrated Genome Browser: free software for distribution and exploration of genome-scale datasets";"9662180757992202615";"2009"
"Open source software and the “private-collective” innovation model: Issues for organization science";"14349810808994983066";"2003"
"Using simulation to design extremescale applications and architectures: programming model exploration";"12881696059470997062";"2011"
" MetaWin: statistical software for meta-analysis";"4314553219883278502";"2000"
"MEGA4: molecular evolutionary genetics analysis (MEGA) software version 4.0";"8480751610153565117";"2007"
"Model exploration with temporal logic query checking";"16834784091631339876";"2002"
"ORION 2.0: A fast and accurate NoC power and area model for early-stage design space exploration";"13432918967794416029";"2009"
"Model-integrated development of embedded software";"708376787572782437";"2003"
"Bogor: an extensible and highly-modular software model checking framework";"2471707337771431322";"2003"
"Dynamic partial-order reduction for model checking software";"13602199458343483910";"2005"
"Temporal logic query checking: A tool for model exploration";"4390720292368232362";"2003"
"Tesseract: Interactive visual exploration of socio-technical relationships in software development";"9051250874315113159";"2009"
"Hardware software partitioning with integrated hardware design space exploration";"7453886620558532890";"1998"
" Systems and software verification: model-checking techniques and tools";"12084227213603060839";"2013"
"Software model checking";"3692251765652223781";"2009"
"Constraint-based design-space exploration and model synthesis";"10101532204032888997";"2003"
"A model-driven framework for guided design space exploration";"9489273458280626796";"2015"
" Exploration of a plant architecture database with the AMAPmod software illustrated on an apple tree hybrid family";"2892268805037005985";"1999"
"Context-bounded model checking of concurrent software";"7048035839845318982";"2005"
"The leaky integrate-and-fire neuron: A platform for synaptic model exploration on the spinnaker chip";"6470367441528924549";"2010"
"Design exploration through bidirectional modeling of constraints";"14402958582960235936";"2006"
"A model and framework for visualization exploration";"8728103499814189074";"2007"
"Modeling in Event-B – System and Software EngineeringAbrial Jean-RaymondCambridge University Press, May 2010 ISBN-10: 0521895561";"6726124012115016584";"2012"
"G/sup SEE: a Generic Software Exploration Environment";"17934343764034698436";"2001"
"The software model checker Blast";"840937417391242191";"2007"
" MACE: Model-inference-Assisted Concolic Exploration for Protocol and Vulnerability Discovery.";"3207246872474717510";"2011"
"ESS++: a C++ objected-oriented algorithm for Bayesian stochastic search model exploration";"7142489962118085196";"2011"
"Model-based exploration of the design space for heterogeneous systems on chip";"11732280114894273887";"2002"
"Evolutionary stochastic search for Bayesian model exploration";"5420078878156453602";"2010"
"Methodological issues in the search for a factor model: Exploration through confirmation";"16348408405353862571";"1982"
" Fisheries ecosystem model of the Chesapeake Bay: methodology, parameterization, and model exploration";"4401389487164804787";"2009"
"New generation of predictive technology model for sub-45 nm early design exploration";"2108257121677501963";"2006"
"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"Model based Bayesian exploration";"412323144564911449";"1999"
" Minimal generation gap model for GAs considering both exploration and exploitation";"15827952108544153378";"1996"
"An exploration of alternative approaches to the representation of uncertainty in model predictions";"11732140597610355983";"2004"
"Predictive technology model for nano-CMOS design exploration";"18346030873159235509";"2007"
"Exploration and model building in mobile robot domains";"7853506169746602409";"1993"
"StepNP: A system-level exploration platform for network processors";"12357634446030221666";"2002"
"ReSP: a nonintrusive transaction-level reflective MPSoC simulation platform for design space exploration";"15984318185837566427";"2009"
"The IF toolset";"12852271742413504654";"2004"
"System level processor/communication co-exploration methodology for multiprocessor system-on-chip platforms";"17559637304275745239";"2005"
"Model-driven design-space exploration for embedded systems: The octopus toolset";"10025736129103929596";"2010"
"Model driven engineering for MPSOC design space exploration";"4538135435550594245";"2007"
"System-level exploration for pareto-optimal configurations in parameterized systems-on-a-chip";"13012087907479468316";"2001"
"Model driven early exploration of IMA execution platform";"8367858242810505910";"2011"
"Functional model exploration for multimedia applications via algebraic operators";"12084026163672974194";"2006"
"Multi-objective design space exploration of embedded system platforms";"16664302585190641898";"2006"
" EPIC-Explorer: A Parameterized VLIW-based Platform Framework for Design Space Exploration.";"9595285122291597012";"2003"
"A GA-based design space exploration framework for parameterized system-on-a-chip platforms";"16853611218680108449";"2004"
"Using abstract CPU subsystem simulation model for high level HW/SW architecture exploration";"7549428000562133322";"2005"
"Verification and validation of simulation models";"15676591415714145897";"2007"
"Verification and validation of simulation models";"17208280220827141074";"2013"
"PEST: a unique computer program for model-independent parameter optimisation";"2681195176531290775";"1994"
"jModelTest: phylogenetic model averaging";"10270526133727922041";"2008"
"Prediction uncertainty of conceptual rainfall-runoff models caused by problems in identifying model parameters and structure";"15576232313816971403";"1999"
"A new algorithm for the estimation of hidden Markov model parameters";"6713727658082230696";"1988"
"Using genetic algorithms to optimise model parameters";"2434018176305117345";"1997"
"The future of distributed models: model calibration and uncertainty prediction";"3396273624552731779";"1992"
"Automatic calibration of a conceptual rainfall–runoff model using multiple objectives";"15326455544716541006";"2000"
"Methods and guidelines for effective model calibration";"6070147423673049234";"2000"
"Automatic calibration of a distributed catchment model";"4515858718830080104";"2001"
"Computer model calibration using high-dimensional output";"11894864876675374313";"2008"
"Sensitivity analysis, calibration, and validations for a multisite and multivariable SWAT model";"139321648794804461";"2005"
" On the dialog between experimentalist and modeler in catchment hydrology: Use of soft data for multicriteria model calibration";"14300484952107173639";"2002"
"Combining a fuzzy optimal model with a genetic algorithm to solve multi-objective rainfall–runoff model calibration";"5875023382761673241";"2002"
" Model calibration";"675125094833426209";""
"A model-calibration approach to using complete auxiliary information from survey data";"3673898431661518413";"2001"
