"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";"Declarative task delegation in OpenMOLE";"9352724239543915462";"2010"
"3";"Tutorials";"1365636722280893252";"2015"
"4";"Parallel stochastic simulations with rigorous distribution of pseudo‐random numbers with DistMe: Application to life science simulations";"16655472900354418000";"2012"
"5";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"6";"Steady-state soil organic matter approximation model: application to the Pasture Simulation Model";"12429991350323419154";"2012"
"7";" Ecosystem climate change vulnerability assessment framework";"8674311399151039303";"2012"
"8";"Model driven reverse engineering for a grassland model with design of experiments in the context of climate change";"14300722430777720257";"2011"
"9";" Building Scientific Workflows on the Grid: A Comparison between OpenMole and Taverna";"907410134065770359";""
"10";" Reproducible Large-Scale Neuroimaging Studies with the OpenMOLE Workflow Management System";"18248814012294141264";"2017"
"11";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"12";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"13";"Towards vulnerability minimization of grassland soil organic matter using metamodels";"12852671943115656971";"2014"
"14";" mtk: A General-Purpose and Extensible R Environment for Uncertainty and Sensitivity Analyses of Numerical Experiments.";"8226912631937378055";"2015"
"15";"OpenMOLE: a Workflow Engine for Distributed Medical Image Analysis";"7502488252604575971";"2014"
"16";"Modelling and analysis of complex food systems: state of the art and new trends";"6029544249413325397";"2011"
"17";" Facilitating parameter estimation and sensitivity analysis of agent-based models: A cookbook using NetLogo and R";"18435805537433182424";"2014"
"18";"R marries NetLogo: introduction to the RNetLogo package";"6832650841167464972";"2014"
"19";"Intelligent software: the OpenMol program";"1526305999368062499";"1994"
"20";"Developmental design of synthetic bacterial architectures by morphogenetic engineering";"8159008038217381857";"2016"
"21";" Utilisation de EGI par la communauté des modélisateurs en systèmes complexes";"13086277835566249443";"2011"
"22";"The Future of Peer Review in the Humanities Is Wide Open.";"4931325208925778771";"2012"
"23";"Stochastic buildings generation to assist in the design of right to build plans";"8645338169281738539";"2017"
"24";"EPIS: a grid platform to ease and optimize multi-agent simulators running";"11041966961482471336";"2011"
"25";" Urban dynamics and simulation models";"71342397976593946";"2017"
"26";"Distribution of random streams for simulation practitioners";"7702865746285108345";"2013"
"27";"A grid-based multistage algorithm for parameter simulation-optimization of complex system";"4273235028552532196";"2013"
"28";"Contributions to parallel stochastic simulation: Application of good software engineering practices to the distribution of pseudorandom streams in hybrid Monte-Carlo …";"4809593535313479575";"2013"
"29";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"30";" 実験計画法に基づくパラメータ探索を用いた大規模マルチエージェントシミュレーションの分析";"10431072610299592398";"2013"
"31";"Large-scale social simulation, dealing with complexity challenges in high performance environments";"17041386231876381264";"2014"
"32";"実験計画法による実験数削減と有意なパラメータ探索の避難シミュレーション分析への適用";"8385846708596184808";"2016"
"33";"Exploring Complex Models in NetLogo";"13870310663596611031";"2017"
"34";" Jonathan Passerat-Palmbach";"13715654526040088252";"2013"
"35";"Data reduction in scientific workflows using provenance monitoring and user steering";"1867186822319577156";"2017"
"36";"Online input data reduction in scientific workflows";"7690876371925366735";"2016"
"37";" To Develop a Database Management Tool for Multi-Agent Simulation Platform";"498487976027162127";"2015"
"38";"網羅的シミュレーションにおける実験計画法を応用した計画モジュールの開発";"1295880719233287298";"2014"
"39";"Questions of uncertainty in geography";"8227652364381073175";"2017"
"40";"Agent-Based Model Exploration";"16189080031202024733";"2015"
"41";"Automated processing of zebrafish imaging data: a survey";"18097246449451717808";"2013"
