" An extended model for culture-dependent heterogenous gene expression and proliferation dynamics in mouse embryonic stem cells";"14812626622705344786";"2017"
"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
" Research frontiers in land use science";"7048258070748019744";"2016"
"Big-data approaches for bioinformatics workflows: A comparative assessment";"3879434383774295815";"2016"
"Automation of multi-agent control for complex dynamic systems in heterogeneous computational network";"6800927398857412194";"2017"
"Machine Learning simulates Agent-Based Model";"564634699183190362";"2017"
"美拉德反应对燕窝糖蛋白糖基化修饰及模拟胃肠液消化作用的影响";"10469105815575803052";"2014"
"Image-based modelling of organogenesis";"13022732429736751392";"2015"
" Evolution of germline segregation processes in animal development";"16998336043967370408";"2015"
"A New Method to Evaluate Simulation Models: The Calibration Profile (CP) Algorithm";"15726759740229850049";"2015"
"Development of a multiplex real-time PCR method for simultaneous detection of Vibrio parahaemolyticus, Listeria monocytogenes and Salmonella spp. in raw shrimp";"14602100389439734196";"2015"
" A pipeline for producing a scientifically accurate visualisation of the Milky Way";"6102921915074660528";""
"A rapid single-extraction method for the simultaneous determination of aflatoxins B1, B2, G1, G2, fumonisin B1, and zearalenone in corn meal by ultra performance …";"5209278507191159568";"2017"
"Chemometrics–Bioinformatics";"7837022413381336500";"2017"
" Akd-TREE ALGORITHM TO DISCOVER THE BOUNDARY OF A BLACKBOX HYPERVOLUME";"11880933290336023873";""
"Challenges and opportunities in food engineering: Modeling, virtualization, open innovation and social responsibility";"7462265916150567826";"2016"
"Some remarks on computational approaches towards sustainable complex agri-food systems";"10695555104362470986";"2016"
" Defined chromosome structure in the genome-reduced bacterium Mycoplasma pneumoniae";"7778628248786429617";"2017"
"CBFβ and the Leukemogenic Fusion Protein CBFβ‐SMMHC Associate With Mitotic Chromosomes to Epigenetically Regulate Ribosomal Genes";"10726200607025578976";"2014"
"Reconciling agriculture and biodiversity in European public policies: a bio-economic perspective";"3460605666999925441";"2017"
"Sensory characteristics of wholegrain and bran-rich cereal foods–A review";"2001094432878362844";"2016"
"Chromatin tagging systems contribute to live imaging analyses for chromatin dynamics";"13662634119481777758";"2016"
"A reconciliation-driven approach of case-based prediction: state of the art, method overview and application in food science";"4307136807213716740";"2015"
"Kilobase pair chromatin fiber contacts promoted by living-system-like DNA linker length distributions and nucleosome depletion";"12103259328138291407";"2017"
" Urban Analytics";"7117512672903993945";"2017"
"I've seen enough: incrementally improving visualizations to support rapid decision making";"9103800823752112611";"2017"
" Genome-wide DNase hypersensitivity, and occupancy of RUNX2 and CTCF reveal a highly dynamic gene regulome during MC3T3 pre-osteoblast …";"3901779955484801377";"2017"
" Recent advances in understanding vertebrate segmentation";"13968795131332004346";"2018"
"Apports des méthodes d'exploration et de distribution appliquées à la simulation des droits à bâtir";"7114521939190935374";"2017"
"Rehydration kinetics of freeze-dried carrots";"4054165569672430485";"2014"
" Implementing W2Share: Supporting Reproducibility and Quality Assessment in eScience";"6103165171214562414";"2017"
"Looking back and moving forward: 50 years of soil and soil fertility management research in sub-Saharan Africa";"4964779173192812728";"2017"
"Increasing the performance of a Discrete Event System Specification simulator by means of computational resource usage “activity” models";"10021049210695593880";"2017"
"A Climatology of Weakly Forced and Pulse Thunderstorms in the Southeast United States";"1125724122597090639";"2017"
"Best practices for replicability, reproducibility and reusability of computer-based experiments exemplified by model reduction software";"3615645081193196382";"2016"
"Nuclear magnetic resonance imaging of lipid in living plants";"8896982530395791197";"2013"
"Time-lapse embryo imaging and morphokinetic profiling: towards a general characterisation of embryogenesis";"2130174630444611728";"2016"
"Accelerating viability kernel computation with CUDA architecture: application to bycatch fishery management";"16272557973405925347";"2016"
"An empirical study of sdn-accelerated hpc infrastructure for scientific research";"1276861765768181978";"2015"
"Protein binders and their applications in developmental biology";"7216245758525491557";"2018"
"Inputs of aspect oriented programming for the profiling of C++ parallel applications on manycore platforms";"3918687172700030044";"2014"
"Unravelling higher order chromatin organisation through statistical analysis";"2657097061342345437";"2016"
" Special Issue Featuring Zoological Society Award Reviews";"5224420975000972197";"2014"
"Non-coding RNAs demystify constitutive heterochromatin as essential modulator of epigenotype";"3418416324119187717";"2017"
"A modular modelling framework for hypotheses testing in the simulation of urbanisation";"15591873270705667361";"2015"
"A viability approach to control food processes: Application to a Camembert cheese ripening process";"2980737996601008799";"2012"
"Modelling of baking processes";"9871157836103891801";"2015"
"Synthetic embryos: windows into mammalian development";"11325759757753077638";"2017"
"Gridvis: Visualisation of island-based parallel genetic algorithms";"80338858882311430";"2014"
"Internet use and health: Connecting secondary data through spatial microsimulation";"7433196840875585078";"2016"
"Systems chronobiology: global analysis of gene regulation in a 24-hour periodic world";"10080476080103202000";"2017"
" Big data and social science: A practical guide to methods and tools";"12540823467740461742";"2016"
"Construction et évaluation d'un modèle de simulation dans un contexte interdisciplinaire";"10159081895350612150";"2015"
" Recent advances in Scalable Workflow Enactment Engines and Technologies";"101656398163355936";"2015"
"Alonso and the scaling of urban profiles";"4813753896133849646";"2018"
"How do cyclists make their way?-A GPS-based revealed preference study in Copenhagen";"13129360937615044473";"2018"
"Parallel stochastic simulations with rigorous distribution of pseudo‐random numbers with DistMe: Application to life science simulations";"16655472900354418000";"2012"
"Juvenile river herring habitat use and marine emigration trends: comparing populations";"9180544158217592354";"2016"
"Ecological intensification: local innovation to address global challenges";"4099770674412784261";"2016"
"Un point de contrôle développemental synchronise la morphogenèse et la différenciation cellulaire dans l'embryon de mammifère";"9035486423698817685";"2018"
"Approaches to analysis and modeling texture in fresh and processed foods–A review";"14086543982557309807";"2013"
" Distribution of neurosensory progenitor pools during inner ear morphogenesis unveiled by cell lineage reconstruction";"210818254329273947";"2017"
" Chrom3D: three-dimensional genome modeling from Hi-C and nuclear lamin-genome contacts";"13704842956475577235";"2017"
" Are local food chains more sustainable than global food chains? Considerations for assessment";"16140632331850011679";"2016"
"Réflexions géographiques sur l'usage des systèmes multi agents dans la compréhension des processus d'évolution des territoires viticoles de fortes pentes: le cas de …";"15689637691026915847";"2015"
"Modeling European ruminant production systems: facing the challenges of climate change";"5202785008121180117";"2016"
"Beyond Corroboration: Strengthening Model Validation by Looking for Unexpected Patterns";"1699663051565167789";"2015"
"Future ecosystem services from European mountain forests under climate change";"8605744923787858717";"2017"
"Immunochromatographic methods in food analysis";"8297238027209159823";"2014"
" Early X chromosome inactivation during human preimplantation development revealed by single-cell RNA-sequencing";"13772807975693077775";"2017"
"Scale and Topology Effects on Agent-Based Simulation: A Trust-Based Coalition";"12362966572672157036";"2014"
"Simulation multi-agent interactive: engager des populations locales dans la modélisation des socio-écosystèmes pour stimuler l'apprentissage social";"16255909402157263439";"2017"
" Cross-scale modelling of transpiration from stomata via the leaf boundary layer";"5063316579457787901";"2014"
" Getting a grip on complexity: systems nutrition";"8036282227958148967";"2015"
"Modelling pasture production and soil temperature, water and carbon fluxes in Mediterranean grassland systems with the Pasture Simulation model";"1604280752026836368";"2017"
"Dynamic Scheduling of Workflow for Makespan and Robustness Improvement in the IaaS Cloud";"15682972528764843685";"2017"
"Kinetics of Bubble Growth in Bread Dough and Crust Formation";"7738429165796659119";"2016"
"Effects of salt on the expansion of starchy snacks: a multiscale analysis";"3782787989611593161";"2014"
