"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"3";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"4";"Hybrid modeling of a bike-sharing transportation system";"2708762895647414578";"2015"
"5";"Agent-based Modeling of Migrant Workers Residential Dynamics within a Mega-city Region: the Case of the Pearl River Delta, China";"5601018099200819035";"2017"
"6";" Reproducible Large-Scale Neuroimaging Studies with the OpenMOLE Workflow Management System";"18248814012294141264";"2017"
"7";" Building Scientific Workflows on the Grid: A Comparison between OpenMole and Taverna";"907410134065770359";""
"8";"Parallel stochastic simulations with rigorous distribution of pseudo‐random numbers with DistMe: Application to life science simulations";"16655472900354418000";"2012"
"9";"Calibration of a Density-based Model of Urban Morphogenesis";"15848250065112202064";"2017"
"10";" Urban dynamics and simulation models";"71342397976593946";"2017"
"11";"An applied knowledge framework to study complex systems";"7409264294851661954";"2017"
"12";"Identification of causalities in spatio-temporal data";"7600160264293043119";"2017"
"13";"Models of growth for system of cities: Back to the simple";"7937597142706929524";"2016"
"14";"Exploring Complex Models in NetLogo";"13870310663596611031";"2017"
"15";"EPIS: a grid platform to ease and optimize multi-agent simulators running";"11041966961482471336";"2011"
"16";"A grid-based multistage algorithm for parameter simulation-optimization of complex system";"4273235028552532196";"2013"
"17";"Model driven reverse engineering for a grassland model with design of experiments in the context of climate change";"14300722430777720257";"2011"
"18";"Towards a Theory of Co-evolutive Networked Territorial Systems: Insights from Transportation Governance Modeling in Pearl River Delta, China";"16057638674660007541";"2016"
"19";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"20";" Towards 3D in silico modeling of the sea urchin embryonic development";"13776562951877429077";"2014"
"21";"Simanalyzer: Automated description of groups dynamics in agent-based simulations";"8401919398052820585";"2012"
"22";" A new method to evaluate simulation models: the calibration profile (CP) algorithm";"15726759740229850049";"2015"
"23";" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015"
"24";" High Performance Computing";"5938934037256783432";"2010"
"25";" To Develop a Database Management Tool for Multi-Agent Simulation Platform";"498487976027162127";"2015"
"26";"Modeling the co-evolution of cities and networks";"9373770629042102363";"2018"
"27";"Steady-state soil organic matter approximation model: application to the Pasture Simulation Model";"12429991350323419154";"2012"
"28";"An incremental method for building and evaluating agent-based models of systems of cities";"12956353589593082618";"2014"
"29";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"30";"SOF: Zero Configuration Simulation Optimization Framework on the Cloud";"3300020818438124785";"2016"
"31";"Using parallel computing to improve the scalability of models with BDI agents";"1162534567459567696";"2017"
"32";"The GR3D model, a tool to explore the Global Repositioning Dynamics of Diadromous fish Distribution";"8331795383076944624";"2014"
"33";"Un Cadre de Connaissances pour une Géographie Intégrée";"5085997308769200468";"2017"
"34";" Toward complex models of complex systems";"8217832953306375285";"2016"
"35";"Algorithmes évolutionnaires sur grille de calcul pour le calibrage de modéles géographiques";"6879403270247345183";"2012"
"36";"Improving the performance of dataflow systems for deep neural network training";"12275736815649870153";"2017"
"37";" A workflow to process 3D+ time microscopy images of developing organisms and reconstruct their cell lineage";"3401557356897008067";"2016"
"38";"Co-construire Modèles, Etudes Empiriques et Théories en Géographie Théorique et Quantitative: le cas des Interactions entre Réseaux et Territoires";"9857159693649795070";"2017"
"39";" Co-construire Modèles, Etudes Empiriques et Théories en Géographie Théorique et Quantitative: le cas des Interactions entre Réseaux et Territoires";"4800702246961214455";"2017"
"40";"An Urban Morphogenesis Model Capturing Interactions between Networks and Territories";"1733317322551838105";"2018"
