"number";"title";"id";"year"
"1";"Simulation model for petroleum exploration";"7129547978725322492";"1981"
"2";"Getting trapped in the suppression of exploration: A simulation model";"7708867984831629588";"2011"
"3";"Using abstract CPU subsystem simulation model for high level HW/SW architecture exploration";"7549428000562133322";"2005"
"4";"Do top-down and bottom-up controls interact to exclude nitrogen-fixing cyanobacteria from the plankton of estuaries? An exploration with a simulation model";"10805398357458016891";"1999"
"5";"Verification and validation of simulation models";"15676591415714145897";"2007"
"6";"Using simulation to design extremescale applications and architectures: programming model exploration";"12881696059470997062";"2011"
"7";"Extended producer responsibility instruments and innovation in eco-design: An exploration through a simulation model";"18428049999629132562";"2012"
"8";"A simulation model of alluvial stratigraphy";"3051748494704414286";"1979"
"9";"Adding interpersonal learning and tacit knowledge to March's exploration-exploitation model";"17262329789306463312";"2006"
"10";"Terramechanics‐based model for steering maneuver of planetary exploration rovers on loose soil";"2063837936135968789";"2007"
"11";"Verification and validation of simulation models";"17208280220827141074";"2013"
"12";"The interplay between exploration and exploitation";"9323519180685304340";"2006"
"13";" Estimation of petroleum exploration success and the effects of resource base exhaustion via a simulation model";"13553936655878111417";"1974"
"14";"A scale-adaptive simulation model for turbulent flow predictions";"2231583744011090641";"2003"
"15";"ICBM: the introductory carbon balance model for exploration of soil carbon balances";"3384107470818300564";"1997"
"16";" Efficient posterior exploration of a high‐dimensional groundwater model from two‐stage Markov chain Monte Carlo simulation and polynomial chaos …";"1158965967804336027";"2013"
"17";"Genetic assignment methods for the direct, real‐time estimation of migration rate: a simulation‐based exploration of accuracy and power";"12071823184244460515";"2004"
"18";"Future extreme events in European climate: an exploration of regional climate model projections";"10418021926011963234";"2007"
"19";"New generation of predictive technology model for sub-45 nm early design exploration";"2108257121677501963";"2006"
"20";"A simulation model of the population dynamics and evolution of myxomatosis";"6446528143344898400";"1990"
"21";"TREEDYN3 forest simulation model";"4030447036528525364";"1996"
"22";"System-level exploration for pareto-optimal configurations in parameterized systems-on-a-chip";"13012087907479468316";"2001"
"23";"Model checking a fault-tolerant startup algorithm: From design exploration to exhaustive fault simulation";"7683890190537968772";"2004"
"24";"An overview of APSIM, a model designed for farming systems simulation";"8974449026240246946";"2003"
"25";" Policy exploration through microanalytic simulation";"228278233091040519";"1976"
"26";"StepNP: A system-level exploration platform for network processors";"12357634446030221666";"2002"
"27";"Exploration of signal transduction pathways in cerebellar long-term depression by kinetic simulation";"2765871155784063914";"2001"
"28";"Validation of Turandot, a fast processor model for microarchitecture exploration";"8768417651579201381";"1999"
"29";"ORION 2.0: A fast and accurate NoC power and area model for early-stage design space exploration";"13432918967794416029";"2009"
"30";"Evolutionary stochastic search for Bayesian model exploration";"5420078878156453602";"2010"
"31";"The metropolis keyboard-an exploration of quantitative techniques for virtual keyboard design";"15462891054058783380";"2000"
"32";"The network structure of exploration and exploitation";"780946145498281788";"2007"
"33";"Transaction level modeling: an overview";"13001039500897241928";"2003"
"34";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"35";" Simulation of Information and Decision System in the Firm";"3427812362003855724";"1963"
"36";"A 3-D gravity inversion tool based on exploration of model possibilities";"7074142818511118022";"2002"
"37";" Perspectives on water: an integrated model-based exploration of the future.";"9496359508939441835";"1998"
"38";"PIRATE: A framework for power/performance exploration of network-on-chip architectures";"793389187704510394";"2004"
"39";"Virtual environments for medical training: Graphical and haptic simulation of laparoscopic common bile duct exploration";"13511841041443991372";"2001"
"40";"Exploratory learning with a computer simulation for control theory: Learning processes and instructional support";"6451092512694888381";"1993"
"41";"Environment for PowerPC microarchitecture exploration";"3175528032892134515";"1999"
"42";"Visual steering commands for trade space exploration: User-guided sampling with example";"5762259560147922476";"2009"
"43";"Temporarily divide to conquer: Centralized, decentralized, and reintegrated organizational approaches to exploration and adaptation";"10967097565349930438";"2003"
"44";"Strong exploration of a cast iron pipe failure model";"1157988033558034191";"2008"
"45";"Trajectories of land use change in Europe: a model-based exploration of rural futures";"8109201553324896827";"2010"
"46";"A green roof model for building energy simulation programs";"1487270153042599384";"2008"
"47";"Interannual variability in terrestrial net primary production: Exploration of trends and controls on regional to global scales";"17756084293160321967";"1999"
"48";"Exploration and exploitation in the presence of network externalities";"13564525710592742623";"2003"
"49";"A new method for practicing exploration, dissection, and simulation with a complete computerized three-dimensional model of the brain and skull";"10438182055900723380";"1994"
"50";"Deciding on the number of classes in latent class analysis and growth mixture modeling: A Monte Carlo simulation study";"12106725197931992031";"2007"
