"number";"title";"id";"year"
"1";"Robust CIECAM02 implementation and numerical experiment within an ICC workflow";"16114494713008663239";"2006"
"2";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"3";"Examining the challenges of scientific workflows";"11827413542471077356";"2007"
"4";"Taverna: lessons in creating a workflow environment for the life sciences";"9329563759117495052";"2006"
"5";"Digital rock physics: numerical prediction of pressure-dependent ultrasonic velocities using micro-CT imaging";"2878316047195559136";"2012"
"6";"Uncertainty quantification in computational predictive models for fluid dynamics using a workflow management engine";"16287301690463382179";"2012"
"7";" Madagascar: Open-source software project for multidimensional data analysis and reproducible computational experiments";"2822880591635036694";"2013"
"8";" Reproducible computational biology experiments with SED-ML-the simulation experiment description markup language";"18097705036647023716";"2011"
"9";"Robust CIECAM02 implementation and numerical experiment within an international color consortium workflow";"537753350790041607";"2008"
"10";"Numerical modeling of multifracture horizontal well for uncertainty analysis and history matching: Case studies from Oklahoma and Texas shale gas wells";"5897648039645531915";"2012"
"11";" A quality-by-design methodology for rapid LC method development, part I";"8079312223293779252";"2012"
"12";"Applying complex fracture model and integrated workflow in unconventional reservoirs";"367009725823121246";"2014"
"13";"Optimal workflow decisions for investigators in systems with interruptions";"7620120515360154466";"2013"
"14";" South China Sea throughflow as evidenced by satellite images and numerical experiments";"12305467223396876917";"2007"
"15";"Experiment databases";"5918169684191173899";"2012"
"16";"Digital rock physics benchmarks—Part I: Imaging and segmentation";"11987003463647789168";"2013"
"17";"Interactions between climate, socioeconomics, and land dynamics in Qinghai province, China: A LUCD model-based numerical experiment";"18248052506510978818";"2013"
"18";"Preserving scientific processes from design to publications";"3760558622844989105";"2012"
"19";"An approach to the flexible information/service workflow managing in distributed networked architectures";"3097763397622421751";"2009"
"20";" Grid computing: experiment management, tool integration, and scientific workflows";"8410616465018146683";"2007"
"21";" Planning for stream processing systems";"15522892317649737475";"2005"
"22";"Chiron: a parallel engine for algebraic scientific workflows";"14367105663095951270";"2013"
"23";"Numerical and experimental investigation of acid wormholing during acidization of vuggy carbonate rocks";"12891070083529961617";"2010"
"24";" Scientific workflow management system applied to uncertainty quantification in large eddy simulation";"239016243059706625";"2009"
"25";"Digital rock physics: Effect of fluid viscosity on effective elastic properties";"8053488401002980132";"2011"
"26";"Workflow and metrics for image quality control in large-scale high-content screens";"16528309040464011354";"2012"
"27";"Nextflow enables reproducible computational workflows";"7491845746350232790";"2017"
"28";"An integrated workflow for chemical EOR pilot design";"9780537461517010351";"2010"
"29";"A combined experimental and simulation workflow to improve predictability of in situ combustion";"11184888485609012188";"2011"
"30";"Digital rock physics benchmarks—Part II: Computing effective properties";"14494120068690009329";"2013"
"31";"A hybrid intelligent method for performance modeling and prediction of workflow activities in grids";"4629960888799423271";"2009"
"32";"Cost-efficient task scheduling for executing large programs in the cloud";"5446223302413309510";"2013"
"33";"GPU-based parallel reservoir simulation for large-scale simulation problems";"16108260498356665578";"2012"
"34";"Fluid flow numerical experiments of faulted porous carbonates, northwest Sicily (Italy)";"5475260764367656206";"2014"
"35";"Terascale direct numerical simulations of turbulent combustion using S3D";"10190873345802501893";"2009"
"36";"Experimental and numerical investigation into the unsteady interaction of labyrinth seal leakage flow and main flow in a 1.5-stage axial turbine";"12229789481947627135";"2004"
"37";"Direct hydrodynamic simulation of multiphase flow in porous rock";"14953288594051206889";"2014"
"38";"Fundamental controls on fluid flow in carbonates: current workflows to emerging technologies";"3121366931534825548";"2015"
"39";" The impact of workflow tools on data-centric research";"13427846374265199332";"2009"
"40";"Numerical studies for fractional-order Logistic differential equation with two different delays";"9485164411050737474";"2012"
"41";"Theoretical and numerical study of heat transfer deterioration in high performance light water reactor";"10628288330166759166";"2008"
"42";"A novel enhanced oil recovery technique: experimental results and modelling workflow of the DME enhanced waterflood technology";"1783523645036736657";"2015"
"43";"Supporting dynamic parameter sweep in adaptive and user-steered workflow";"5689187013913905822";"2011"
"44";"Exposé: An ontology for data mining experiments";"5428248033861993580";"2010"
"45";" iLAP: a workflow-driven software for experimental protocol development, data acquisition and analysis";"10952821308968480210";"2009"
"46";"Numerical simulation of surfactant–polymer coreflooding experiments for carbonates";"710894448854635315";"2013"
"47";"e-AIRS: An e-science collaboration portal for aerospace applications";"11738351501861531985";"2006"
"48";"On scientific workflow scheduling in clouds under budget constraint";"3074952761917924131";"2013"
"49";"Thermo-acoustic performance of full engine encapsulations–A numerical, experimental and psychoacoustic study";"3957106528932813408";"2016"
"50";"OpenAlea: scientific workflows combining data analysis and simulation";"12403905290985936480";"2015"
