"id";"title";"year";"depth";"citingFilled";"digtwin_sustdev"
"6546566043433960613";"A factor analysis of the key sustainability content underpinning green cities development in Ghana";"2022";"0";"false";"39"
"8175035552588485411";" N., & Vinh, TQ, & Yakutseny, S.(2022). Analysis of PTE accumulation, Oil and Processed Products";"NA";"0";"false";"4"
"2679974980981371513";"Utilization of BIM in steel building projects: A systematic literature review";"2022";"1";"false";"4"
"11978381137010058511";"Agile Machine Development from Virtual to Real";"2022";"0";"false";"13"
"16889360092987943564";"Decentralized Maintenance Supply Chain System for Highly Sensitive Assets:'Blockchain of Things'(BCoT)-based Solution";"2022";"0";"false";"4"
"4961594555142871193";"Organizational Design for Digital Technologies in Industry 4.0:“Best Practice” From Italy";"2022";"0";"false";"4"
"860599329027846962";"Smart Manufacturing Technologies in Industry-4.0";"2021";"0";"false";"13"
"10354027133031401893";"Attaining higher levels of circularity in construction: Scientometric review and cross-industry exploration";"2022";"0";"false";"13"
"12206338645175727344";"A survey of metaverse technology";"2022";"0";"false";"13"
"16351474776662260744";"Architecture of the Maritime Logistics Ecosystem of the Northern Sea Route: Vision and Gap";"2022";"0";"false";"89"
"13615212342104090117";"Hybrid Project Management between Traditional Software Development Lifecycle and Agile Based Product Development for Future Sustainability";"2023";"0";"false";"4"
"3321961727523247492";"Electromagnetic interference analysis of industrial IoT networks: From legacy systems to 5G";"2020";"0";"false";"13"
"4065758478251810416";"The adoption of technology management principles and artificial intelligence for a sustainable lean construction industry in the case of Bahrain";"2022";"0";"false";"39"
"12789026364410425601";"Improving supply chain resilience through industry 4.0: A systematic literature review under the impressions of the COVID-19 pandemic";"2021";"0";"false";"56"
"6451131239077607767";"Üretim Sistemlerinde Makine Öğrenmesi ile Kestirimci Bakım Uygulaması ve Modellemesi";"2022";"0";"false";"4"
"11733221908123414008";"An Intelligent Correlation Real-Time Analysis Method for the Mechanical Properties of Members in Super-Span Valve Hall Grid Structure Hoisting Process";"2022";"0";"false";"4"
